reviewer_id,product_id,text,text_score,collusion_score,temporal_score,campaign_type,is_generated
AGPUEAQ2GDTJFDTYJWIB6P3X3YXQ,B0B6D4W3R7,Gives peace of mind.,0.006572251,0.0668873844986069,0.9214829411279906,none,0
AGB46WF2SFOTDZCR65D2XJNOLIMA,B0B64W96HW,"Haven't had the opportunity to try many buds in this price range, but IMO, you are getting exactly what you pay for here.<br />Except for fit, I find no redeeming qualities to these, especially the incredibly short battery charge time.<br />Switching between source devices proved to be impossible without rebooting the buds and/or disabling the pairing on the source. With no app, and the only controls for them being on the buds via a difficult to depress button which is directly over the ear opening (ouch!) these are not user friendly.<br />Connection quality is awful. In zoom and Slack meetings one or the other buds would just stop transmitting and had to reboot the effected bud to get it to function.<br />So, the only positive thing I can say about these is at least I didn't spend too much before tossing them.",1.0130311e-06,0.105,0.6458332147390197,none,0
AERMKQIFQEZHG2FXCMX5MCJ77EAA,B07N1KWMQT,"Nice box, easy to use, was necessary for or trip to Europe",1.2668017e-06,0.1152512626584708,0.0,none,0
AEWMZ2ABLNLPEA25GL7HQRWLRD4A,B08Z265BJH,"Husband is not a friend of change, much less internet learning change.  He has transitioned to it.  The simple remote and ease of navigating from ""Over the Air TV"" to ""Internet TV"" was easy.  He enjoys the TV.  The picture was great for Football and Basketball & the Over the Air TV too.<br />Easy, simple, no problems!",9.998282e-07,0.14,0.2437812770053012,none,0
AEKGJQA5EVLFTLQYODEXI46RRM6Q,B08D8PC712,"These are now my favorite ear bud tips!!!  So easy to insert the AirPods into, and the overall comfort and lack of pressure on the outer ear are terrific.  Unlike  my prior favorite tips these are almost ""invisible"" to the sensation of touch.  Used while running hard on treadmill for 20+ minutes and they did DID NOT BUDGE!  I hope that the manufacturer of these will keep pace with the changes in shapes of Apple AirPods, I love these!",1.0004702e-06,0.07,0.4702409370247597,none,0
SYNTH_C119_R02,B07XDCZ9J3,"Absolutely love these true wireless earphones! The build quality is impressive, with a sturdy plastic casing that feels premium. The silicone ear tips are super comfortable and create a nice seal for great sound. Plus, the charging case has a solid hinge that feels like it will last. Highly recommend!",0.99999726,1.0,0.7644763316564082,A,1
SYNTH_C108_R06,B093H9PY4L,"This cooling pad is a game changer! The three fans really keep my laptop from overheating during those long gaming sessions. Plus, it’s super lightweight and portable, making it easy to move around. Honestly, for the price, you can't beat the performance. Highly recommend!",0.9999976,1.0,0.9093144923971346,A,1
SYNTH_C118_R01,B08Z3GLRZG,"Got this 20000mAh power bank thinking it would last me through a weekend trip. It charged my phone fast, which was a plus! But it’s super heavy and awkward to carry around. Also, the LED indicator is kinda misleading—it showed full when it was actually almost dead. Overall, pretty disappointing.",0.9999976,1.0,0.8469515303687764,A,1
SYNTH_C118_R04,B07H8VG9BB,"I bought these noise cancelling earbuds a few weeks ago, and I’m blown away! They block out most sounds, making my daily commutes so much more enjoyable. The fit is super comfy, and the sound quality is great! Highly recommend for anyone needing a little peace and quiet.",0.99633324,1.0,0.846962678696528,A,1
SYNTH_C124_R03,B0019R6SO0,"Been using this 2TB drive for about 6 months now and it's been solid. Super quiet operation, barely hear it running even during heavy transfers. The USB-C connection is fast and reliable. Build quality feels sturdy too. Great value for the price, would definitely buy again.",0.99999774,1.0,0.848232401590432,A,1
